ID,date,history,reopenings,comments,numWords,score1,score2
MNG-3018,2007-05-29,"Date: 2007-06-05T08:53:33.620-07:00, From: Open To: ClosedDate: 2007-06-05T18:08:28.833-07:00, From: Closed To: ReopenedDate: 2007-06-05T18:08:49.744-07:00, From: Reopened To: ClosedDate: 2007-06-06T21:00:22.061-07:00, From: Closed To: ReopenedDate: 2009-08-14T03:21:11.667-07:00, From: Reopened To: Closed",2,7,348,1,-2
MNG-3017,2007-05-29,"Date: 2010-03-27T01:26:39.307-07:00, From: Open To: Closed",0,4,222,1,-2
MNG-3014,2007-05-29,"Date: 2007-06-15T03:32:51.305-07:00, From: Open To: ClosedDate: 2007-06-26T18:02:43.451-07:00, From: Closed To: ReopenedDate: 2007-06-26T19:02:33.613-07:00, From: Reopened To: Closed",1,3,127,3,-2
MNG-3013,2007-05-28,"Date: 2009-08-27T01:33:16.563-07:00, From: Open To: Closed",0,4,56,1,-1
MNG-3012,2007-05-26,"Date: 2007-05-31T05:31:56.953-07:00, From: Open To: Closed",0,1,73,1,-1
MNG-3011,2007-05-25,"Date: 2008-01-03T20:40:23.820-08:00, From: Open To: Closed",0,0,2,1,-1
MNG-3010,2007-05-23,"Date: 2007-06-12T20:57:56.983-07:00, From: Open To: ClosedDate: 2008-05-18T01:03:22.746-07:00, From: Closed To: ReopenedDate: 2008-05-18T01:03:37.627-07:00, From: Reopened To: Closed",1,4,342,2,-4
MNG-3009,2007-05-23,"Date: 2007-06-15T21:55:05.523-07:00, From: Open To: Closed",0,0,2,1,-1
MNG-3008,2007-05-23,"Date: 2009-12-29T12:37:39.488-08:00, From: Open To: Closed",0,4,70,1,-1
MNG-3007,2007-05-22,"Date: 2009-12-29T10:56:31.449-08:00, From: Open To: Closed",0,2,124,1,-1
MNG-3006,2007-05-22,"Date: 2014-01-22T12:32:10.015-08:00, From: Open To: Closed",0,6,566,2,-3
MNG-3005,2007-05-22,"Date: 2007-06-15T03:53:31.944-07:00, From: Open To: Closed",0,1,28,1,-1
MNG-3004,2007-05-22,"Date: 2010-04-07T23:30:48.053-07:00, From: Open To: In ProgressDate: 2010-04-07T23:47:12.607-07:00, From: In Progress To: Closed",0,23,1667,2,-3
MNG-3003,2007-05-21,"Date: 2007-05-21T23:41:38.701-07:00, From: Open To: In ProgressDate: 2007-05-21T23:45:06.786-07:00, From: In Progress To: Closed",0,2,26,1,-1
MNG-3001,2007-05-21,"Date: 2007-07-17T00:41:56.929-07:00, From: Open To: Closed",0,6,626,3,-2
MNG-3000,2007-05-21,"Date: 2008-12-17T22:46:37.375-08:00, From: Open To: ClosedDate: 2008-12-18T13:48:44.356-08:00, From: Closed To: ReopenedDate: 2008-12-18T13:56:33.830-08:00, From: Reopened To: Closed",1,4,105,1,-1
MNG-2999,2007-05-21,"Date: 2008-03-05T13:02:21.823-08:00, From: Open To: Closed",0,0,2,1,-1
MNG-2997,2007-05-20,"Date: 2008-09-05T05:34:17.273-07:00, From: Open To: Closed",0,1,124,1,-1
MNG-2996,2007-05-19,"Date: 2007-05-20T00:12:44.883-07:00, From: Open To: Closed",0,0,2,1,-1
MNG-2994,2007-05-18,"Date: 2010-04-08T09:35:26.728-07:00, From: Open To: Closed",0,8,199,1,-3
MNG-2993,2007-05-17,"Date: 2007-05-17T06:43:26.236-07:00, From: Open To: Closed",0,2,39,1,-1
MNG-2992,2007-05-17,"Date: 2007-06-02T09:40:36.164-07:00, From: Open To: Closed",0,3,62,1,-1
MNG-2991,2007-05-17,"Date: 2007-05-17T05:21:47.954-07:00, From: Open To: Closed",0,1,27,1,-1
MNG-2990,2007-05-17,"Date: 2007-05-17T05:19:17.703-07:00, From: Open To: Closed",0,1,36,1,-1
MNG-2989,2007-05-17,"Date: 2010-04-06T16:17:55.038-07:00, From: Open To: Closed",0,1,26,1,-1
MNG-2988,2007-05-17,"Date: 2007-06-07T00:41:59.741-07:00, From: Open To: Closed",0,3,153,3,-2
MNG-2987,2007-05-16,"Date: 2007-06-01T08:34:32.447-07:00, From: Open To: Closed",0,1,24,1,-1
MNG-2985,2007-05-12,"Date: 2007-05-14T14:16:18.476-07:00, From: Open To: Closed",0,6,73,1,-1
MNG-2984,2007-05-11,"Date: 2014-01-22T12:31:48.905-08:00, From: Open To: Closed",0,3,63,1,-1
MNG-2983,2007-05-11,"Date: 2008-01-06T03:19:41.913-08:00, From: Open To: Closed",0,1,24,1,-1
MNG-2982,2007-05-10,"Date: 2008-12-18T00:17:09.037-08:00, From: Open To: Closed",0,2,33,1,-1
MNG-2980,2007-05-04,"Date: 2007-06-05T09:25:44.609-07:00, From: Open To: ClosedDate: 2007-06-05T18:12:16.954-07:00, From: Closed To: ReopenedDate: 2007-06-05T18:12:56.250-07:00, From: Reopened To: Closed",1,5,222,1,-4
MNG-2979,2007-05-04,"Date: 2009-04-29T10:33:52.920-07:00, From: Open To: ClosedDate: 2009-07-17T07:13:49.541-07:00, From: Closed To: ReopenedDate: 2009-12-30T13:27:48.101-08:00, From: Reopened To: Closed",1,22,1210,3,-4
MNG-2978,2007-05-03,"Date: 2007-06-01T08:50:02.022-07:00, From: Open To: Closed",0,2,105,1,-1
MNG-2977,2007-05-03,"Date: 2007-05-31T08:01:09.831-07:00, From: Open To: Closed",0,1,26,1,-1
MNG-2975,2007-05-02,"Date: 2008-12-18T00:05:29.142-08:00, From: Open To: Closed",0,5,346,2,-1
MNG-2974,2007-05-01,"Date: 2010-04-06T18:38:14.460-07:00, From: Open To: Closed",0,3,85,1,-1
MNG-2973,2007-05-01,"Date: 2014-01-22T12:31:29.942-08:00, From: Open To: Closed",0,2,39,1,-1
MNG-2972,2007-05-01,"Date: 2007-06-16T09:35:23.907-07:00, From: Open To: ClosedDate: 2007-06-17T23:25:32.413-07:00, From: Closed To: ReopenedDate: 2008-03-11T08:06:41.104-07:00, From: Reopened To: In ProgressDate: 2008-03-11T09:21:28.542-07:00, From: In Progress To: Closed",1,6,238,1,-1
MNG-2970,2007-04-28,"Date: 2008-12-17T22:07:29.325-08:00, From: Open To: ClosedDate: 2008-12-17T22:22:25.241-08:00, From: Closed To: ReopenedDate: 2009-12-29T10:54:39.041-08:00, From: Reopened To: Closed",1,12,387,2,-1
MNG-2969,2007-04-28,"Date: 2007-09-06T19:17:14.242-07:00, From: Open To: Closed",0,5,675,2,-3
MNG-2968,2007-04-27,"Date: 2007-09-02T11:01:38.986-07:00, From: Open To: Closed",0,9,514,2,-4
MNG-2967,2007-04-27,"Date: 2009-12-29T12:36:54.963-08:00, From: Open To: Closed",0,1,31,1,-1
MNG-2966,2007-04-26,"Date: 2014-01-22T12:32:06.275-08:00, From: Open To: Closed",0,8,876,3,-4
MNG-2965,2007-04-26,"Date: 2007-04-27T04:24:53.913-07:00, From: Open To: ClosedDate: 2007-04-27T04:57:01.371-07:00, From: Closed To: ReopenedDate: 2007-04-27T05:07:56.476-07:00, From: Reopened To: Closed",1,1,41,1,-1
MNG-3120,2007-04-26,"Date: 2008-01-06T02:43:13.359-08:00, From: Open To: ClosedDate: 2008-01-06T02:45:04.838-08:00, From: Closed To: ReopenedDate: 2008-01-06T02:45:29.003-08:00, From: Reopened To: Closed",1,3,69,1,-1
MNG-3215,2007-04-26,"Date: 2007-09-18T07:24:46.211-07:00, From: Open To: Closed",0,1,21,1,-1
MNG-2964,2007-04-26,"Date: 2008-01-06T03:37:51.482-08:00, From: Open To: Closed",0,1,24,1,-1
MNG-2963,2007-04-25,"Date: 2007-11-03T18:37:05.969-07:00, From: Open To: Closed",0,5,111,1,-1
MNG-2962,2007-04-24,"Date: 2009-12-29T05:16:42.305-08:00, From: Open To: Closed",0,6,351,1,-2
MNG-2961,2007-04-24,"Date: 2007-08-14T08:46:01.752-07:00, From: Open To: Closed",0,2,48,2,-1
MNG-2960,2007-04-24,"Date: 2007-06-01T09:02:24.593-07:00, From: Open To: Closed",0,1,21,1,-1
MNG-2959,2007-04-24,"Date: 2007-06-14T16:55:40.391-07:00, From: Open To: ClosedDate: 2007-06-14T17:41:40.311-07:00, From: Closed To: ReopenedDate: 2007-06-14T17:41:51.291-07:00, From: Reopened To: Closed",1,1,29,1,-1
MNG-2958,2007-04-23,"Date: 2007-05-31T16:21:11.357-07:00, From: Open To: Closed",0,1,21,1,-1
MNG-2957,2007-04-22,"Date: 2009-12-30T05:49:14.743-08:00, From: Open To: Closed",0,1,40,1,-1
MNG-2954,2007-04-18,"Date: 2008-01-09T11:17:05.438-08:00, From: Open To: Closed",0,1,21,1,-1
MNG-2953,2007-04-17,"Date: 2008-01-06T03:45:50.341-08:00, From: Open To: Closed",0,1,20,1,-1
MNG-2951,2007-04-16,"Date: 2007-04-20T08:05:58.353-07:00, From: Open To: Closed",0,2,54,1,-1
MNG-2949,2007-04-15,"Date: 2007-05-31T15:35:13.641-07:00, From: Open To: Closed",0,2,67,1,-1
MNG-2947,2007-04-13,"Date: 2008-01-10T23:43:04.812-08:00, From: Open To: Closed",0,1,27,1,-1
MNG-2946,2007-04-12,"Date: 2008-12-17T23:10:55.223-08:00, From: Open To: Closed",0,1,91,3,-1
MNG-2944,2007-04-11,"Date: 2009-12-29T10:53:28.596-08:00, From: Open To: Closed",0,1,47,1,-1
MNG-2943,2007-04-10,"Date: 2007-06-16T10:43:05.795-07:00, From: Open To: ClosedDate: 2007-08-01T17:43:52.491-07:00, From: Closed To: ReopenedDate: 2007-08-01T17:44:07.862-07:00, From: Reopened To: Closed",1,6,304,1,-1
MNG-2942,2007-04-09,"Date: 2007-04-10T05:20:17.643-07:00, From: Open To: Closed",0,1,23,2,-1
MNG-2941,2007-04-07,"Date: 2010-03-31T04:04:44.504-07:00, From: Open To: Closed",0,3,127,2,-1
MNG-2940,2007-04-06,"Date: 2009-01-27T14:58:33.490-08:00, From: Open To: Closed",0,9,404,1,-1
MNG-2939,2007-04-05,"Date: 2007-06-04T05:40:43.587-07:00, From: Open To: Closed",0,3,77,1,-1
MNG-2938,2007-04-05,"Date: 2007-09-02T11:54:22.492-07:00, From: Open To: ClosedDate: 2007-09-02T12:10:29.201-07:00, From: Closed To: ReopenedDate: 2007-09-02T13:38:00.340-07:00, From: Reopened To: Closed",1,3,141,2,-1
