ID,date,history,reopenings,comments,numWords,score1,score2
CLOUDSTACK-9096,2015-12-01,,0,0,2,1,-1
CLOUDSTACK-9095,2015-11-30,"Date: 2015-11-30T02:11:24.969-08:00, From: Open To: In ProgressDate: 2015-12-08T03:36:53.185-08:00, From: In Progress To: Closed",0,19,1988,3,-2
CLOUDSTACK-9094,2015-11-29,"Date: 2017-12-19T00:03:27.107-08:00, From: Open To: Closed",0,23,1120,2,-3
CLOUDSTACK-9093,2015-11-29,,0,0,2,1,-1
CLOUDSTACK-9092,2015-11-29,"Date: 2015-12-13T13:06:47.591-08:00, From: Open To: Closed",0,10,365,2,-2
CLOUDSTACK-9091,2015-11-26,"Date: 2016-08-04T11:24:08.013-07:00, From: Open To: Resolved",0,12,473,2,-2
CLOUDSTACK-9090,2015-11-26,,0,0,2,1,-1
CLOUDSTACK-9089,2015-11-26,,0,0,2,1,-1
CLOUDSTACK-9088,2015-11-26,"Date: 2016-04-21T22:07:01.313-07:00, From: Open To: Resolved",0,16,714,2,-3
CLOUDSTACK-9087,2015-11-26,"Date: 2015-12-11T02:28:38.158-08:00, From: Open To: Closed",0,5,201,2,-2
CLOUDSTACK-9086,2015-11-25,"Date: 2015-12-13T12:58:19.834-08:00, From: Open To: Closed",0,24,3742,2,-2
CLOUDSTACK-9085,2015-11-25,,0,0,2,1,-1
CLOUDSTACK-9084,2015-11-25,,0,3,207,1,-2
CLOUDSTACK-9083,2015-11-24,"Date: 2015-11-25T01:46:18.906-08:00, From: Open To: In ProgressDate: 2015-11-25T01:46:25.241-08:00, From: In Progress To: ReviewableDate: 2015-11-30T01:48:07.174-08:00, From: Reviewable To: Resolved",0,23,2906,3,-2
CLOUDSTACK-9082,2015-11-24,"Date: 2015-11-24T01:48:04.315-08:00, From: Open To: In Progress",0,2,38,1,-1
CLOUDSTACK-9081,2015-11-24,"Date: 2015-11-29T20:02:51.991-08:00, From: Open To: Resolved",0,8,2358,1,-2
CLOUDSTACK-9080,2015-11-23,"Date: 2015-12-13T13:05:35.000-08:00, From: Open To: Closed",0,9,2371,2,-2
CLOUDSTACK-9079,2015-11-23,"Date: 2017-12-17T12:39:59.966-08:00, From: Open To: Closed",0,9,237,2,-1
CLOUDSTACK-9078,2015-11-22,"Date: 2016-04-12T19:07:29.734-07:00, From: Open To: Resolved",0,7,868,1,-1
CLOUDSTACK-9077,2015-11-20,"Date: 2015-11-30T16:08:50.249-08:00, From: Open To: Closed",0,19,1258,3,-2
CLOUDSTACK-9076,2015-11-19,"Date: 2016-04-12T19:08:47.534-07:00, From: Open To: Resolved",0,8,1015,1,-2
CLOUDSTACK-9075,2015-11-19,"Date: 2015-12-03T23:59:02.470-08:00, From: Open To: Resolved",0,36,5981,3,-2
CLOUDSTACK-9074,2015-11-18,"Date: 2016-04-12T19:46:56.659-07:00, From: Open To: Resolved",0,97,8836,3,-3
CLOUDSTACK-9073,2015-11-18,"Date: 2016-05-14T00:22:43.181-07:00, From: Open To: Resolved",0,4,116,1,-3
CLOUDSTACK-9072,2015-11-17,,0,0,2,1,-1
CLOUDSTACK-9071,2015-11-17,"Date: 2017-01-06T03:20:19.087-08:00, From: Open To: Closed",0,42,2759,2,-3
CLOUDSTACK-9070,2015-11-17,"Date: 2015-11-19T09:24:34.381-08:00, From: Open To: Resolved",0,2,125,2,-2
CLOUDSTACK-9069,2015-11-17,,0,19,839,3,-2
CLOUDSTACK-9068,2015-11-17,"Date: 2015-11-29T20:58:42.026-08:00, From: Open To: Resolved",0,26,2116,3,-2
CLOUDSTACK-9067,2015-11-17,"Date: 2015-12-10T00:43:19.487-08:00, From: Open To: Resolved",0,29,5718,3,-2
CLOUDSTACK-9066,2015-11-17,"Date: 2016-08-04T11:23:06.786-07:00, From: Open To: Resolved",0,9,474,1,-2
CLOUDSTACK-9065,2015-11-16,"Date: 2017-03-03T07:14:33.200-08:00, From: Open To: Resolved",0,24,2397,3,-2
CLOUDSTACK-9064,2015-11-16,"Date: 2016-05-17T00:07:18.654-07:00, From: Open To: Resolved",0,40,3220,3,-2
CLOUDSTACK-9063,2015-11-14,,0,20,1827,3,-2
CLOUDSTACK-9062,2015-11-12,"Date: 2015-11-22T15:00:17.300-08:00, From: Open To: Resolved",0,22,2538,3,-3
CLOUDSTACK-9061,2015-11-12,,0,6,263,2,-2
CLOUDSTACK-9060,2015-11-12,,0,1,38,1,-1
CLOUDSTACK-9059,2015-11-12,,0,0,2,1,-1
CLOUDSTACK-9058,2015-11-12,"Date: 2016-05-16T22:31:16.979-07:00, From: Open To: Resolved",0,33,3026,3,-2
CLOUDSTACK-9057,2015-11-11,"Date: 2017-12-17T12:27:40.396-08:00, From: Open To: Closed",0,20,849,2,-2
CLOUDSTACK-9056,2015-11-11,"Date: 2015-11-30T23:23:05.924-08:00, From: Open To: Closed",0,4,60,1,-1
CLOUDSTACK-9055,2015-11-11,"Date: 2015-11-29T12:38:06.598-08:00, From: Open To: Closed",0,24,2408,3,-2
CLOUDSTACK-9054,2015-11-11,,0,10,1545,2,-2
CLOUDSTACK-9053,2015-11-10,,0,20,1064,2,-2
CLOUDSTACK-9052,2015-11-10,,0,10,886,1,-2
CLOUDSTACK-9051,2015-11-10,"Date: 2015-12-08T07:57:06.769-08:00, From: Open To: Resolved",0,22,2296,2,-2
CLOUDSTACK-9050,2015-11-10,"Date: 2016-05-23T01:42:22.898-07:00, From: Open To: Closed",0,14,748,2,-2
CLOUDSTACK-9049,2015-11-09,"Date: 2015-11-10T04:34:19.250-08:00, From: Open To: ResolvedDate: 2015-11-10T04:34:29.881-08:00, From: Resolved To: Closed",0,31,1748,3,-3
CLOUDSTACK-9048,2015-11-09,"Date: 2015-12-13T13:28:36.975-08:00, From: Open To: Closed",0,11,305,2,-2
CLOUDSTACK-9047,2015-11-09,,0,16,1717,2,-1
CLOUDSTACK-9046,2015-11-09,"Date: 2015-11-09T14:30:23.141-08:00, From: Open To: Resolved",0,29,4184,3,-3
CLOUDSTACK-9045,2015-11-08,"Date: 2015-11-09T14:31:23.911-08:00, From: Open To: Resolved",0,10,352,1,-2
CLOUDSTACK-9044,2015-11-08,"Date: 2015-11-10T07:31:09.127-08:00, From: Open To: Resolved",0,16,702,3,-2
CLOUDSTACK-9043,2015-11-06,"Date: 2015-11-09T15:10:46.504-08:00, From: Open To: Closed",0,12,535,2,-2
CLOUDSTACK-9042,2015-11-06,"Date: 2016-05-16T23:28:54.945-07:00, From: Open To: Resolved",0,31,1546,3,-3
CLOUDSTACK-9041,2015-11-06,"Date: 2016-02-14T11:38:00.580-08:00, From: Open To: Resolved",0,8,405,2,-2
CLOUDSTACK-9040,2015-11-05,"Date: 2015-11-09T14:31:13.429-08:00, From: Open To: Resolved",0,21,1468,2,-2
CLOUDSTACK-9039,2015-11-05,"Date: 2015-11-09T14:31:52.315-08:00, From: Open To: Resolved",0,27,1320,2,-3
CLOUDSTACK-9038,2015-11-05,"Date: 2015-11-09T06:15:40.823-08:00, From: Open To: ResolvedDate: 2015-11-09T06:15:49.932-08:00, From: Resolved To: Closed",0,9,315,3,-2
CLOUDSTACK-9037,2015-11-05,"Date: 2015-12-13T13:31:44.102-08:00, From: Open To: Closed",0,10,386,1,-2
CLOUDSTACK-9036,2015-11-05,,0,2,74,1,-1
CLOUDSTACK-9035,2015-11-04,,0,7,1181,1,-2
CLOUDSTACK-9034,2015-11-04,"Date: 2015-11-04T21:54:52.341-08:00, From: Open To: Resolved",0,4,160,2,-2
CLOUDSTACK-9033,2015-11-04,,0,0,2,1,-1
CLOUDSTACK-9032,2015-11-04,,0,0,2,1,-1
CLOUDSTACK-9031,2015-11-04,,0,1,514,1,-1
CLOUDSTACK-9030,2015-11-04,,0,0,2,1,-1
CLOUDSTACK-9029,2015-11-04,"Date: 2015-11-19T12:01:30.381-08:00, From: Open To: Closed",0,13,1635,2,-2
CLOUDSTACK-9028,2015-11-04,"Date: 2017-03-17T10:24:34.942-07:00, From: Open To: Closed",0,0,2,1,-1
CLOUDSTACK-9027,2015-11-04,"Date: 2016-07-21T12:46:00.261-07:00, From: Open To: Closed",0,4,169,3,-1
CLOUDSTACK-9026,2015-11-04,"Date: 2016-08-04T11:23:53.883-07:00, From: Open To: Resolved",0,13,526,2,-2
CLOUDSTACK-9025,2015-11-03,"Date: 2016-05-16T22:29:23.399-07:00, From: Open To: Resolved",0,151,21090,3,-3
CLOUDSTACK-9024,2015-11-03,"Date: 2016-03-17T07:25:13.595-07:00, From: Open To: Closed",0,4,166,1,-1
CLOUDSTACK-9023,2015-11-03,"Date: 2016-02-04T19:38:39.366-08:00, From: Open To: ResolvedDate: 2016-02-04T19:38:49.938-08:00, From: Resolved To: Closed",0,2,105,1,-1
CLOUDSTACK-9022,2015-11-03,"Date: 2015-11-03T08:28:03.310-08:00, From: Open To: In ProgressDate: 2015-11-03T08:28:07.011-08:00, From: In Progress To: ReviewableDate: 2015-12-08T07:57:19.854-08:00, From: Reviewable To: Resolved",0,55,3981,4,-3
CLOUDSTACK-9021,2015-11-03,"Date: 2015-11-03T06:44:13.765-08:00, From: Open To: Resolved",0,10,422,2,-2
CLOUDSTACK-9020,2015-11-03,"Date: 2015-11-05T06:19:10.442-08:00, From: Open To: In ProgressDate: 2015-11-05T06:19:17.472-08:00, From: In Progress To: ReviewableDate: 2015-11-19T03:25:04.630-08:00, From: Reviewable To: Resolved",0,42,2347,3,-2
CLOUDSTACK-9019,2015-11-02,"Date: 2015-11-03T00:41:29.991-08:00, From: Open To: In ProgressDate: 2015-11-03T00:41:37.224-08:00, From: In Progress To: ReviewableDate: 2015-11-03T21:27:48.334-08:00, From: Reviewable To: Resolved",0,21,2986,2,-2
CLOUDSTACK-9018,2015-11-02,"Date: 2016-07-21T12:45:01.946-07:00, From: Open To: Closed",0,1,23,1,-1
CLOUDSTACK-9017,2015-11-02,,0,9,634,1,-2
CLOUDSTACK-9016,2015-11-01,"Date: 2015-11-02T13:20:21.284-08:00, From: Open To: ResolvedDate: 2015-11-02T13:20:34.818-08:00, From: Resolved To: Closed",0,24,2110,2,-2
CLOUDSTACK-9015,2015-10-31,"Date: 2015-11-22T08:44:12.655-08:00, From: Open To: ResolvedDate: 2015-11-22T08:44:22.375-08:00, From: Resolved To: Closed",0,44,6598,3,-2
CLOUDSTACK-9014,2015-10-30,"Date: 2015-10-30T08:32:26.611-07:00, From: Open To: ResolvedDate: 2015-10-30T08:32:43.741-07:00, From: Resolved To: Closed",0,3,105,1,-1
CLOUDSTACK-9013,2015-10-30,"Date: 2015-11-02T03:14:51.072-08:00, From: Open To: ResolvedDate: 2015-11-02T03:14:59.077-08:00, From: Resolved To: Closed",0,10,1464,2,-2
CLOUDSTACK-9012,2015-10-30,,0,16,2319,3,-2
CLOUDSTACK-9011,2015-10-30,"Date: 2015-10-30T05:04:30.336-07:00, From: Open To: Resolved",0,2,214,1,-2
CLOUDSTACK-9010,2015-10-30,"Date: 2015-10-31T04:01:28.111-07:00, From: Open To: ResolvedDate: 2015-10-31T04:01:58.639-07:00, From: Resolved To: Closed",0,15,542,3,-3
CLOUDSTACK-9009,2015-10-30,"Date: 2015-10-30T01:19:14.962-07:00, From: Open To: Closed",0,0,2,1,-1
CLOUDSTACK-9008,2015-10-29,"Date: 2015-11-02T11:30:48.763-08:00, From: Open To: ResolvedDate: 2015-11-02T11:30:56.828-08:00, From: Resolved To: Closed",0,21,2404,2,-3
CLOUDSTACK-9007,2015-10-29,"Date: 2015-10-29T00:45:16.661-07:00, From: Open To: In ProgressDate: 2015-10-29T12:00:57.929-07:00, From: In Progress To: OpenDate: 2015-10-29T12:01:26.985-07:00, From: Open To: Resolved",1,19,2335,3,-2
CLOUDSTACK-9006,2015-10-28,"Date: 2015-10-29T21:24:27.321-07:00, From: Open To: Resolved",0,18,2340,2,-2
CLOUDSTACK-9005,2015-10-28,"Date: 2016-02-14T11:37:40.851-08:00, From: Open To: Resolved",0,11,334,2,-2
CLOUDSTACK-9004,2015-10-28,"Date: 2015-12-07T15:57:31.713-08:00, From: Open To: Resolved",0,24,2479,2,-3
CLOUDSTACK-9003,2015-10-28,"Date: 2017-03-17T10:24:49.555-07:00, From: Open To: Closed",0,34,5114,3,-3
CLOUDSTACK-9002,2015-10-27,,0,1,101,1,-1
CLOUDSTACK-9001,2015-10-27,"Date: 2016-02-14T11:37:18.027-08:00, From: Open To: Resolved",0,10,395,2,-2
