ID,history,reopenings,comments,score1,score2
CAMEL-8406,"Date: 2015-02-26T02:29:59.630-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8405,,0,0,1,-1
CAMEL-8404,,0,0,1,-1
CAMEL-8403,,0,0,1,-1
CAMEL-8402,"Date: 2016-01-09T06:36:33.068-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8401,"Date: 2015-02-26T05:02:08.850-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8400,"Date: 2015-02-27T22:42:36.065-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8399,"Date: 2015-02-26T04:57:16.399-08:00, From: Open To: Resolved",0,3,1,-1
CAMEL-8398,"Date: 2015-02-26T04:58:12.550-08:00, From: Open To: Resolved",0,1,2,-1
CAMEL-8397,"Date: 2015-06-24T20:52:10.561-07:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8396,"Date: 2017-11-07T04:23:57.867-08:00, From: Open To: Resolved",0,5,1,-1
CAMEL-8395,"Date: 2015-02-23T14:30:04.298-08:00, From: Open To: Closed",0,1,1,-1
CAMEL-8394,"Date: 2015-02-25T07:28:07.140-08:00, From: Open To: Resolved",0,3,3,-2
CAMEL-8393,"Date: 2015-09-16T06:04:57.739-07:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8392,"Date: 2015-08-20T09:12:45.900-07:00, From: Open To: Resolved",0,7,2,-3
CAMEL-8391,"Date: 2015-03-05T23:21:58.815-08:00, From: Open To: Resolved",0,6,1,-2
CAMEL-8390,"Date: 2015-03-02T04:05:10.590-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8389,"Date: 2015-02-22T01:26:55.620-08:00, From: Open To: Resolved",0,1,3,-1
CAMEL-8388,,0,1,1,-1
CAMEL-8387,"Date: 2015-02-22T01:50:27.176-08:00, From: Open To: Resolved",0,5,3,-2
CAMEL-8386,"Date: 2015-02-22T07:12:24.694-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8385,"Date: 2015-03-02T06:17:48.709-08:00, From: Open To: Resolved",0,15,2,-3
CAMEL-8384,"Date: 2015-02-21T23:10:06.155-08:00, From: Open To: ResolvedDate: 2015-02-21T23:32:08.667-08:00, From: Resolved To: ReopenedDate: 2015-03-20T23:43:03.193-07:00, From: Reopened To: Resolved",1,3,1,-1
CAMEL-8383,"Date: 2015-03-01T00:24:34.919-08:00, From: Open To: Resolved",0,4,3,-1
CAMEL-8382,"Date: 2015-02-20T02:33:02.794-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8381,"Date: 2015-03-08T00:04:49.539-08:00, From: Open To: Resolved",0,3,3,-2
CAMEL-8380,"Date: 2016-08-28T02:23:00.698-07:00, From: Open To: Resolved",0,3,1,-1
CAMEL-8379,"Date: 2015-02-19T02:24:45.375-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8378,"Date: 2015-02-21T01:07:29.102-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8377,"Date: 2015-02-19T01:01:15.259-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8376,"Date: 2015-02-18T23:08:48.592-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8375,"Date: 2015-02-18T23:13:00.660-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8374,"Date: 2015-02-25T07:43:31.930-08:00, From: Open To: Resolved",0,3,1,-1
CAMEL-8373,"Date: 2016-03-23T01:43:26.011-07:00, From: Open To: Resolved",0,9,3,-2
CAMEL-8372,"Date: 2015-02-20T06:42:22.163-08:00, From: Open To: Resolved",0,4,2,-1
CAMEL-8371,"Date: 2015-02-22T23:10:39.695-08:00, From: Open To: Resolved",0,6,1,-2
CAMEL-8370,"Date: 2015-02-17T22:43:23.561-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8369,"Date: 2015-02-18T00:38:32.231-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8368,"Date: 2015-02-21T07:39:27.636-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8367,"Date: 2015-02-18T00:59:11.602-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8366,"Date: 2015-02-17T23:19:45.976-08:00, From: Open To: Resolved",0,4,1,-2
CAMEL-8365,"Date: 2015-02-18T23:09:08.280-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8364,"Date: 2015-03-01T00:24:47.472-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8363,"Date: 2015-02-16T11:05:45.381-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8362,,0,1,1,-1
CAMEL-8361,,0,2,1,-1
CAMEL-8360,"Date: 2015-02-18T01:18:31.095-08:00, From: Open To: Resolved",0,3,2,-1
CAMEL-8359,"Date: 2015-02-15T18:06:36.689-08:00, From: Open To: Closed",0,1,1,-1
CAMEL-8358,"Date: 2015-02-16T15:27:19.470-08:00, From: Open To: Closed",0,1,1,-1
CAMEL-8357,"Date: 2015-02-27T00:48:56.958-08:00, From: Open To: Resolved",0,3,1,-1
CAMEL-8356,"Date: 2015-02-27T16:34:37.901-08:00, From: Open To: ResolvedDate: 2015-02-28T04:47:16.938-08:00, From: Resolved To: ReopenedDate: 2015-03-02T18:06:07.137-08:00, From: Reopened To: Resolved",1,20,2,-2
CAMEL-8355,"Date: 2015-02-14T04:07:02.170-08:00, From: Open To: ResolvedDate: 2015-02-14T04:27:05.673-08:00, From: Resolved To: ReopenedDate: 2015-02-14T05:40:40.129-08:00, From: Reopened To: Resolved",1,8,2,-3
CAMEL-8354,"Date: 2015-02-14T05:35:59.417-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8353,"Date: 2015-02-15T00:17:52.533-08:00, From: Open To: Resolved",0,2,1,-2
CAMEL-8352,"Date: 2015-02-17T23:20:41.618-08:00, From: Open To: Resolved",0,4,1,-1
CAMEL-8351,"Date: 2017-03-06T00:53:56.625-08:00, From: Open To: Resolved",0,5,2,-2
CAMEL-8350,"Date: 2015-02-22T02:05:36.853-08:00, From: Open To: Resolved",0,9,3,-1
CAMEL-8349,"Date: 2015-02-26T01:15:38.925-08:00, From: Open To: Resolved",0,8,1,-2
CAMEL-8348,"Date: 2015-02-13T03:48:11.727-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8347,"Date: 2015-02-12T23:31:13.161-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8346,"Date: 2015-03-03T22:53:06.783-08:00, From: Open To: Resolved",0,13,3,-2
CAMEL-8345,"Date: 2015-03-01T00:26:23.671-08:00, From: Open To: Resolved",0,4,2,-2
CAMEL-8344,"Date: 2015-02-12T17:37:23.068-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8343,"Date: 2015-02-12T07:05:25.646-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8342,"Date: 2015-02-28T01:07:37.789-08:00, From: Open To: Resolved",0,18,2,-2
CAMEL-8341,"Date: 2015-02-12T07:00:00.452-08:00, From: Open To: Resolved",0,3,2,-2
CAMEL-8340,"Date: 2015-02-12T06:18:56.651-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8339,"Date: 2015-02-12T06:48:55.797-08:00, From: Open To: Resolved",0,3,2,-2
CAMEL-8338,"Date: 2015-02-12T01:40:06.813-08:00, From: Open To: Resolved",0,3,1,-2
CAMEL-8337,"Date: 2015-02-12T21:06:13.486-08:00, From: Open To: In ProgressDate: 2015-02-12T21:18:21.703-08:00, From: In Progress To: Resolved",0,1,1,-1
CAMEL-8336,"Date: 2015-02-11T09:46:26.569-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8335,"Date: 2015-02-11T00:33:03.629-08:00, From: Open To: In ProgressDate: 2015-03-01T00:26:34.768-08:00, From: In Progress To: ResolvedDate: 2015-03-05T19:05:27.143-08:00, From: Resolved To: ReopenedDate: 2015-03-05T19:15:28.068-08:00, From: Reopened To: Resolved",1,3,1,-1
CAMEL-8334,"Date: 2015-02-20T01:34:18.307-08:00, From: Open To: Resolved",0,7,3,-2
CAMEL-8333,"Date: 2015-02-10T22:42:18.012-08:00, From: Open To: In ProgressDate: 2015-02-10T23:13:04.039-08:00, From: In Progress To: ResolvedDate: 2015-02-10T23:34:06.774-08:00, From: Resolved To: ReopenedDate: 2015-02-11T00:17:06.605-08:00, From: Reopened To: Resolved",1,5,1,-3
CAMEL-8332,"Date: 2015-03-02T21:48:44.980-08:00, From: Open To: Resolved",0,15,3,-2
CAMEL-8331,"Date: 2015-03-01T02:48:59.208-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8330,"Date: 2015-02-10T05:46:19.591-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8329,"Date: 2015-02-10T00:47:50.298-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8328,"Date: 2015-02-15T13:01:35.215-08:00, From: Open To: Resolved",0,5,2,-2
CAMEL-8327,"Date: 2015-02-09T23:29:47.252-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8326,"Date: 2015-02-10T06:10:58.576-08:00, From: Open To: Closed",0,12,3,-3
CAMEL-8325,"Date: 2015-12-25T02:18:05.122-08:00, From: Open To: Resolved",0,5,1,-1
CAMEL-8324,"Date: 2015-02-08T23:34:00.109-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8323,"Date: 2015-08-19T02:21:12.004-07:00, From: Open To: Resolved",0,2,3,-2
CAMEL-8322,"Date: 2015-02-09T02:00:17.266-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8321,"Date: 2015-02-17T17:45:56.884-08:00, From: Open To: Closed",0,7,1,-2
CAMEL-8320,"Date: 2015-02-28T23:43:51.786-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8319,"Date: 2015-02-05T22:29:33.925-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8318,"Date: 2015-02-05T21:28:50.897-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8317,"Date: 2015-02-05T06:55:48.127-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8316,"Date: 2015-02-05T06:55:57.281-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8315,"Date: 2015-02-04T23:29:58.616-08:00, From: Open To: ClosedDate: 2015-02-04T23:49:08.328-08:00, From: Closed To: ReopenedDate: 2015-02-08T21:32:58.889-08:00, From: Reopened To: Resolved",1,2,1,-1
CAMEL-8314,"Date: 2015-02-05T07:31:35.564-08:00, From: Open To: Resolved",0,2,2,-1
CAMEL-8313,"Date: 2015-02-04T05:23:17.795-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8312,"Date: 2015-03-02T04:01:31.264-08:00, From: Open To: Resolved",0,3,1,-2
CAMEL-8311,"Date: 2015-03-02T04:01:45.806-08:00, From: Open To: Resolved",0,4,3,-1
CAMEL-8310,"Date: 2015-02-22T07:28:31.949-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8309,"Date: 2015-02-04T10:52:33.867-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8308,"Date: 2016-04-28T07:35:48.805-07:00, From: Open To: Resolved",0,4,2,-2
CAMEL-8307,"Date: 2015-02-02T09:47:22.387-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8306,,0,3,2,-1
CAMEL-8305,,0,0,1,-1
CAMEL-8304,,0,1,1,-1
CAMEL-8303,"Date: 2015-02-15T09:07:54.703-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8302,"Date: 2015-11-13T07:10:49.919-08:00, From: Open To: Resolved",0,13,2,-2
CAMEL-8301,"Date: 2015-02-01T23:59:01.515-08:00, From: Open To: Resolved",0,4,1,-2
CAMEL-8300,"Date: 2017-11-04T13:45:02.795-07:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8299,"Date: 2015-02-09T21:56:21.638-08:00, From: Open To: Resolved",0,4,2,-3
CAMEL-8298,"Date: 2015-01-29T19:35:41.001-08:00, From: Open To: Resolved",0,3,2,-1
CAMEL-8297,"Date: 2015-02-02T00:13:46.150-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8296,"Date: 2015-02-02T01:07:55.289-08:00, From: Open To: Resolved",0,5,2,-1
CAMEL-8295,"Date: 2015-01-29T04:33:08.140-08:00, From: Open To: Resolved",0,4,2,-2
CAMEL-8294,"Date: 2015-01-28T22:40:30.238-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8293,,0,10,2,-2
CAMEL-8292,"Date: 2015-01-28T10:38:29.400-08:00, From: Open To: Closed",0,1,1,-1
CAMEL-8291,"Date: 2015-02-04T10:52:10.387-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8290,,0,0,1,-1
CAMEL-8289,"Date: 2015-01-29T04:38:15.034-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8288,"Date: 2015-02-11T09:52:20.762-08:00, From: Open To: Resolved",0,7,2,-2
CAMEL-8287,"Date: 2016-01-17T05:59:56.784-08:00, From: Open To: In ProgressDate: 2016-08-15T08:12:39.334-07:00, From: In Progress To: Resolved",0,23,3,-3
CAMEL-8286,"Date: 2015-02-15T00:29:43.192-08:00, From: Open To: Resolved",0,2,1,-1
