ID,date,history,reopenings,comments,numWords,score1,score2
ZEPPELIN-1894,2017-01-03,"Date: 2017-03-18T09:35:42.004-07:00, From: Open To: Resolved",0,7,416,2,-2
ZEPPELIN-1893,2017-01-03,,0,1,183,1,-1
ZEPPELIN-1892,2017-01-02,,0,2,53,1,-1
ZEPPELIN-1891,2017-01-02,"Date: 2017-03-04T23:25:29.694-08:00, From: Open To: Resolved",0,1,28,2,-1
ZEPPELIN-1890,2017-01-02,,0,1,62,2,-2
ZEPPELIN-1889,2017-01-02,"Date: 2017-03-24T15:07:11.094-07:00, From: Open To: Resolved",0,15,1298,2,-3
ZEPPELIN-1888,2017-01-02,"Date: 2017-01-04T00:46:34.603-08:00, From: Open To: Closed",0,1,29,1,-1
ZEPPELIN-1887,2017-01-02,"Date: 2017-01-04T08:03:00.941-08:00, From: Open To: Resolved",0,5,256,1,-2
ZEPPELIN-1886,2017-01-02,,0,8,935,2,-2
ZEPPELIN-1885,2017-01-02,,0,0,2,1,-1
ZEPPELIN-1884,2017-01-01,"Date: 2017-01-08T05:54:45.664-08:00, From: Open To: Resolved",0,11,700,2,-2
ZEPPELIN-1883,2017-01-01,"Date: 2017-01-13T16:25:06.901-08:00, From: Open To: Resolved",0,20,1307,2,-3
ZEPPELIN-1882,2017-01-01,"Date: 2017-01-10T00:53:58.341-08:00, From: Open To: Resolved",0,2,63,2,-1
ZEPPELIN-1881,2017-01-01,"Date: 2017-01-01T19:52:51.162-08:00, From: Open To: Resolved",0,0,2,1,-1
ZEPPELIN-1880,2017-01-01,"Date: 2017-01-23T21:11:20.223-08:00, From: Open To: Resolved",0,14,669,2,-2
ZEPPELIN-1879,2016-12-31,,0,0,2,1,-1
ZEPPELIN-1878,2016-12-30,"Date: 2017-01-02T00:24:19.533-08:00, From: Open To: Resolved",0,4,213,1,-2
ZEPPELIN-1877,2016-12-29,"Date: 2017-01-10T18:21:29.087-08:00, From: Open To: Resolved",0,0,2,1,-1
ZEPPELIN-1876,2016-12-29,"Date: 2017-02-10T23:08:37.725-08:00, From: Open To: Resolved",0,24,1353,3,-2
ZEPPELIN-1875,2016-12-29,"Date: 2017-01-02T23:04:29.135-08:00, From: Open To: Resolved",0,11,660,2,-2
ZEPPELIN-1874,2016-12-29,"Date: 2017-01-08T03:02:35.622-08:00, From: Open To: Resolved",0,8,432,2,-2
ZEPPELIN-1873,2016-12-29,"Date: 2017-01-03T23:17:42.039-08:00, From: Open To: Resolved",0,3,196,1,-2
ZEPPELIN-1872,2016-12-29,,0,1,85,1,-1
ZEPPELIN-1871,2016-12-28,,0,1,78,1,-2
ZEPPELIN-1870,2016-12-28,,0,0,2,1,-1
ZEPPELIN-1869,2016-12-28,"Date: 2017-01-19T22:22:57.721-08:00, From: Open To: Resolved",0,10,816,1,-3
ZEPPELIN-1868,2016-12-28,"Date: 2017-01-07T21:42:26.308-08:00, From: Open To: Resolved",0,7,374,3,-2
ZEPPELIN-1867,2016-12-28,"Date: 2017-01-11T19:10:52.255-08:00, From: Open To: Resolved",0,9,427,2,-3
ZEPPELIN-1866,2016-12-28,"Date: 2017-01-04T22:46:32.663-08:00, From: Open To: Resolved",0,10,610,2,-2
ZEPPELIN-1865,2016-12-27,,0,1,29,1,-1
ZEPPELIN-1864,2016-12-27,"Date: 2017-01-11T19:15:50.635-08:00, From: Open To: Resolved",0,23,3227,2,-2
ZEPPELIN-1863,2016-12-26,"Date: 2016-12-27T00:53:18.223-08:00, From: Open To: Resolved",0,3,248,2,-2
ZEPPELIN-1862,2016-12-26,"Date: 2017-01-10T22:27:09.020-08:00, From: Open To: Resolved",0,9,367,1,-2
ZEPPELIN-1861,2016-12-26,"Date: 2017-01-04T19:02:39.869-08:00, From: Open To: Resolved",0,7,369,4,-2
ZEPPELIN-1860,2016-12-26,"Date: 2017-06-05T01:11:53.706-07:00, From: Open To: Closed",0,2,162,2,-1
ZEPPELIN-1859,2016-12-24,"Date: 2016-12-24T01:18:55.438-08:00, From: Open To: In Progress",0,8,1335,3,-3
ZEPPELIN-1858,2016-12-23,,0,0,2,1,-1
ZEPPELIN-1857,2016-12-23,"Date: 2017-01-20T17:53:36.611-08:00, From: Open To: Resolved",0,3,169,1,-2
ZEPPELIN-1856,2016-12-23,"Date: 2017-01-30T00:03:36.807-08:00, From: Open To: In ProgressDate: 2017-03-03T07:58:32.203-08:00, From: In Progress To: OpenDate: 2017-03-27T04:34:26.274-07:00, From: Open To: In ProgressDate: 2017-04-28T01:12:22.563-07:00, From: In Progress To: Resolved",1,14,1042,2,-2
ZEPPELIN-1855,2016-12-23,"Date: 2016-12-27T07:29:19.433-08:00, From: Open To: Resolved",0,4,218,1,-2
ZEPPELIN-1854,2016-12-22,"Date: 2017-01-04T22:40:19.559-08:00, From: Open To: Resolved",0,13,607,2,-2
ZEPPELIN-1853,2016-12-22,"Date: 2016-12-27T17:39:33.473-08:00, From: Open To: Resolved",0,7,270,2,-2
ZEPPELIN-1852,2016-12-22,"Date: 2017-01-17T23:18:54.878-08:00, From: Open To: Resolved",0,11,403,2,-2
ZEPPELIN-1851,2016-12-22,"Date: 2017-01-04T19:04:45.669-08:00, From: Open To: Resolved",0,6,251,2,-2
ZEPPELIN-1850,2016-12-22,"Date: 2016-12-28T20:50:00.052-08:00, From: Open To: Resolved",0,28,2364,3,-3
ZEPPELIN-1849,2016-12-22,,0,0,2,1,-1
ZEPPELIN-1848,2016-12-22,"Date: 2017-01-10T10:36:24.798-08:00, From: Open To: Resolved",0,5,459,1,-2
ZEPPELIN-1847,2016-12-22,"Date: 2016-12-27T17:43:14.545-08:00, From: Open To: Resolved",0,13,625,2,-2
ZEPPELIN-1846,2016-12-21,"Date: 2016-12-21T23:12:02.661-08:00, From: Open To: Closed",0,2,47,1,-1
ZEPPELIN-1845,2016-12-21,"Date: 2016-12-27T22:00:11.813-08:00, From: Open To: ResolvedDate: 2017-02-20T21:55:43.731-08:00, From: Open To: Closed",0,7,282,1,-2
ZEPPELIN-1844,2016-12-21,"Date: 2016-12-27T17:41:14.630-08:00, From: Open To: Resolved",0,5,201,2,-2
ZEPPELIN-1843,2016-12-21,"Date: 2016-12-27T23:46:12.140-08:00, From: Open To: In ProgressDate: 2017-01-23T01:49:23.720-08:00, From: In Progress To: Resolved",0,15,885,2,-2
ZEPPELIN-1842,2016-12-20,"Date: 2016-12-26T17:18:09.448-08:00, From: Open To: Resolved",0,6,389,2,-2
ZEPPELIN-1841,2016-12-19,"Date: 2017-01-03T18:41:39.355-08:00, From: Open To: Resolved",0,6,513,2,-2
ZEPPELIN-1840,2016-12-19,"Date: 2016-12-27T21:55:44.837-08:00, From: Open To: Resolved",0,7,610,1,-2
ZEPPELIN-1839,2016-12-19,"Date: 2016-12-24T06:57:26.150-08:00, From: Open To: Resolved",0,6,134,1,-1
ZEPPELIN-1838,2016-12-19,"Date: 2016-12-19T01:14:26.040-08:00, From: Open To: In Progress",0,0,2,1,-1
