ID,history,reopenings,comments,score1,score2
AIRFLOW-2314,,0,1,1,-1
AIRFLOW-2313,,0,0,1,-1
AIRFLOW-2312,"Date: 2018-04-11T02:43:20.581-07:00, From: Open To: Resolved",0,3,4,-1
AIRFLOW-2311,,0,0,1,-1
AIRFLOW-2310,,0,0,1,-1
AIRFLOW-2309,,0,0,1,-1
AIRFLOW-2308,,0,0,1,-1
AIRFLOW-2307,,0,0,1,-1
AIRFLOW-2306,"Date: 2018-04-09T14:54:35.547-07:00, From: Open To: Closed",0,1,1,-1
AIRFLOW-2305,"Date: 2018-04-09T12:07:51.118-07:00, From: Open To: Resolved",0,3,1,-1
AIRFLOW-2304,"Date: 2018-04-10T00:19:16.850-07:00, From: Open To: Resolved",0,2,1,-1
AIRFLOW-2303,"Date: 2018-04-10T00:11:15.345-07:00, From: Open To: Resolved",0,3,1,-1
AIRFLOW-2302,"Date: 2018-04-11T02:55:47.727-07:00, From: Open To: Resolved",0,2,1,-1
AIRFLOW-2301,,0,0,1,-1
AIRFLOW-2300,,0,0,1,-1
AIRFLOW-2299,,0,0,1,-1
AIRFLOW-2298,"Date: 2018-04-07T08:46:26.890-07:00, From: Open To: In ProgressDate: 2018-04-08T11:28:43.361-07:00, From: In Progress To: Resolved",0,2,1,-1
AIRFLOW-2297,"Date: 2018-04-08T13:27:43.067-07:00, From: Open To: ClosedDate: 2018-04-08T13:41:12.246-07:00, From: Closed To: ReopenedDate: 2018-04-08T13:41:23.406-07:00, From: Reopened To: Closed",1,2,1,-1
AIRFLOW-2296,"Date: 2018-04-08T12:34:47.332-07:00, From: Open To: ClosedDate: 2018-04-08T12:34:54.269-07:00, From: Closed To: ReopenedDate: 2018-04-08T12:54:30.833-07:00, From: Reopened To: Closed",1,1,1,-1
AIRFLOW-2295,,0,0,1,-1
AIRFLOW-2294,,0,0,1,-1
AIRFLOW-2293,,0,0,1,-1
AIRFLOW-2292,"Date: 2018-04-08T11:15:46.054-07:00, From: Open To: Resolved",0,3,1,-3
AIRFLOW-2291,"Date: 2018-04-11T05:16:15.630-07:00, From: Open To: Resolved",0,3,2,-1
AIRFLOW-2290,,0,0,1,-1
AIRFLOW-2289,,0,0,1,-1
AIRFLOW-2288,,0,0,1,-1
AIRFLOW-2287,,0,3,1,-1
AIRFLOW-2286,"Date: 2018-04-05T19:08:10.673-07:00, From: Open To: Closed",0,1,1,-1
AIRFLOW-2285,,0,1,1,-1
