ID,date,history,reopenings,comments,numWords,score1,score2
ZEPPELIN-926,2016-05-30,"Date: 2016-06-03T21:32:14.964-07:00, From: Open To: ResolvedDate: 2016-06-06T21:08:38.027-07:00, From: Resolved To: Closed",0,8,274,2,-2
ZEPPELIN-925,2016-05-30,"Date: 2016-06-01T00:17:13.005-07:00, From: Open To: In ProgressDate: 2016-06-09T06:48:00.786-07:00, From: In Progress To: Resolved",0,34,2139,3,-2
ZEPPELIN-924,2016-05-30,"Date: 2016-06-08T00:06:22.010-07:00, From: Open To: Closed",0,1,28,1,-1
ZEPPELIN-923,2016-05-30,"Date: 2016-06-06T22:17:09.106-07:00, From: Open To: Resolved",0,10,386,2,-2
ZEPPELIN-922,2016-05-30,"Date: 2016-12-12T21:40:43.299-08:00, From: Open To: In ProgressDate: 2016-12-22T07:33:09.931-08:00, From: In Progress To: Resolved",0,7,317,2,-2
ZEPPELIN-921,2016-05-30,"Date: 2017-02-21T22:41:56.909-08:00, From: Open To: Resolved",0,30,2113,3,-3
ZEPPELIN-920,2016-05-30,"Date: 2016-06-07T23:51:56.762-07:00, From: Open To: Closed",0,1,23,1,-1
ZEPPELIN-919,2016-05-30,"Date: 2016-07-26T00:14:19.469-07:00, From: Open To: Resolved",0,7,345,1,-2
ZEPPELIN-918,2016-05-30,"Date: 2016-06-20T03:08:17.257-07:00, From: Open To: Resolved",0,0,2,1,-1
ZEPPELIN-917,2016-05-30,"Date: 2016-11-24T01:03:01.682-08:00, From: Open To: Resolved",0,20,3334,2,-2
ZEPPELIN-916,2016-05-30,"Date: 2016-10-17T05:59:22.927-07:00, From: Open To: Resolved",0,6,223,3,-2
ZEPPELIN-915,2016-05-30,"Date: 2016-06-07T07:22:12.287-07:00, From: Open To: Resolved",0,16,945,3,-2
ZEPPELIN-914,2016-05-30,"Date: 2016-12-29T02:22:53.503-08:00, From: Open To: In ProgressDate: 2016-12-30T06:30:29.313-08:00, From: In Progress To: Resolved",0,15,1580,2,-2
ZEPPELIN-913,2016-05-30,"Date: 2016-08-18T21:40:41.218-07:00, From: Open To: Resolved",0,5,231,1,-2
ZEPPELIN-912,2016-05-30,"Date: 2016-10-23T22:47:56.474-07:00, From: Open To: Resolved",0,6,274,2,-2
ZEPPELIN-911,2016-05-30,"Date: 2016-06-09T06:25:45.131-07:00, From: Open To: Resolved",0,13,1123,3,-2
ZEPPELIN-910,2016-05-30,"Date: 2016-07-21T22:04:12.563-07:00, From: Open To: Resolved",0,8,392,2,-2
ZEPPELIN-909,2016-05-30,"Date: 2016-07-15T02:35:38.321-07:00, From: Open To: Closed",0,6,379,2,-2
ZEPPELIN-908,2016-05-30,"Date: 2016-10-01T00:07:05.264-07:00, From: Open To: Closed",0,15,664,2,-2
ZEPPELIN-907,2016-05-30,"Date: 2016-10-09T08:08:26.729-07:00, From: Open To: Resolved",0,3,212,1,-2
ZEPPELIN-906,2016-05-30,"Date: 2016-07-12T00:59:27.616-07:00, From: Open To: Resolved",0,5,410,2,-2
ZEPPELIN-905,2016-05-30,"Date: 2016-06-22T21:29:50.461-07:00, From: Open To: Resolved",0,17,672,2,-2
ZEPPELIN-904,2016-05-30,"Date: 2016-06-03T21:47:18.022-07:00, From: Open To: Resolved",0,5,229,3,-2
ZEPPELIN-903,2016-05-30,"Date: 2017-06-01T20:08:13.739-07:00, From: Open To: Resolved",0,39,2403,3,-4
ZEPPELIN-902,2016-05-30,,0,13,1009,2,-4
ZEPPELIN-901,2016-05-30,"Date: 2016-06-10T18:43:46.972-07:00, From: Open To: Resolved",0,13,2004,3,-2
ZEPPELIN-900,2016-05-29,,0,10,685,3,-2
ZEPPELIN-899,2016-05-28,,0,0,2,1,-1
ZEPPELIN-898,2016-05-28,"Date: 2016-05-30T11:01:18.916-07:00, From: Open To: Resolved",0,4,159,1,-2
ZEPPELIN-897,2016-05-28,"Date: 2016-05-30T10:58:18.811-07:00, From: Open To: Resolved",0,4,147,1,-2
ZEPPELIN-896,2016-05-28,"Date: 2016-05-30T10:57:43.769-07:00, From: Open To: Resolved",0,4,163,1,-2
ZEPPELIN-895,2016-05-28,"Date: 2016-05-29T08:50:46.366-07:00, From: Open To: Closed",0,1,30,1,-1
ZEPPELIN-894,2016-05-28,"Date: 2016-06-02T13:58:09.505-07:00, From: Open To: Resolved",0,0,2,1,-1
ZEPPELIN-893,2016-05-27,,0,2,66,1,-1
ZEPPELIN-892,2016-05-27,,0,2,157,2,-1
ZEPPELIN-891,2016-05-27,"Date: 2016-06-09T13:11:09.480-07:00, From: Open To: Resolved",0,4,215,2,-2
ZEPPELIN-890,2016-05-26,"Date: 2016-06-11T18:55:52.015-07:00, From: Open To: Resolved",0,9,393,3,-2
ZEPPELIN-889,2016-05-26,"Date: 2016-07-06T00:17:04.417-07:00, From: Open To: Closed",0,7,177,3,-2
ZEPPELIN-888,2016-05-26,,0,2,92,1,-1
ZEPPELIN-887,2016-05-26,,0,2,200,1,-2
ZEPPELIN-886,2016-05-25,"Date: 2016-06-13T18:53:31.605-07:00, From: Open To: Resolved",0,3,192,1,-2
