ID,date,history,reopenings,comments,numWords,score1,score2
FELIX-3723,2012-10-18,"Date: 2012-10-19T06:23:29.593-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:18.144-08:00, From: Resolved To: Closed",0,2,66,1,-2
FELIX-3722,2012-10-18,"Date: 2012-10-18T02:36:25.931-07:00, From: Open To: Resolved",0,2,38,1,-1
FELIX-3721,2012-10-17,"Date: 2012-10-18T02:32:57.232-07:00, From: Open To: ResolvedDate: 2012-10-29T04:57:54.273-07:00, From: Resolved To: Closed",0,3,149,1,-1
FELIX-3720,2012-10-17,"Date: 2012-10-18T05:32:53.150-07:00, From: Open To: ResolvedDate: 2012-10-18T05:43:07.504-07:00, From: Resolved To: Closed",0,5,160,2,-1
FELIX-3719,2012-10-17,"Date: 2012-10-17T23:23:16.525-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:17.369-08:00, From: Resolved To: Closed",0,2,24,1,-1
FELIX-3718,2012-10-17,"Date: 2012-10-17T23:20:46.209-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:17.076-08:00, From: Resolved To: Closed",0,2,49,1,-2
FELIX-3717,2012-10-17,"Date: 2012-10-17T23:22:45.061-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:15.674-08:00, From: Resolved To: Closed",0,2,51,1,-1
FELIX-3716,2012-10-17,"Date: 2012-11-27T21:10:54.075-08:00, From: Open To: ResolvedDate: 2012-12-07T08:17:55.456-08:00, From: Resolved To: Closed",0,3,295,2,-1
FELIX-3715,2012-10-17,"Date: 2012-12-11T13:21:47.686-08:00, From: Open To: ResolvedDate: 2012-12-13T10:43:44.157-08:00, From: Resolved To: Closed",0,6,233,3,-1
FELIX-3714,2012-10-17,"Date: 2013-12-06T02:14:43.933-08:00, From: Open To: ResolvedDate: 2015-03-16T23:57:50.099-07:00, From: Resolved To: Closed",0,1,21,1,-1
FELIX-3713,2012-10-16,"Date: 2013-02-01T13:05:11.536-08:00, From: Open To: Resolved",0,7,736,3,-1
FELIX-3712,2012-10-16,"Date: 2013-12-06T01:49:15.732-08:00, From: Open To: ResolvedDate: 2015-03-16T23:58:03.260-07:00, From: Resolved To: Closed",0,5,483,2,-1
FELIX-3711,2012-10-13,,0,15,1625,3,-3
FELIX-3710,2012-10-12,"Date: 2012-10-17T23:25:36.610-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:16.695-08:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-3709,2012-10-12,"Date: 2012-10-12T09:25:00.391-07:00, From: Open To: ResolvedDate: 2012-10-12T09:25:32.361-07:00, From: Resolved To: Closed",0,4,61,1,-3
FELIX-3708,2012-10-11,"Date: 2012-11-29T15:57:44.616-08:00, From: Open To: ResolvedDate: 2014-09-04T01:04:12.464-07:00, From: Resolved To: Closed",0,4,227,2,-1
FELIX-3707,2012-10-11,"Date: 2012-10-17T09:40:17.716-07:00, From: Open To: ResolvedDate: 2012-10-17T12:56:01.127-07:00, From: Resolved To: Closed",0,5,302,2,-2
FELIX-3706,2012-10-10,"Date: 2012-10-10T08:16:16.065-07:00, From: Open To: Resolved",0,1,34,1,-1
FELIX-3705,2012-10-09,"Date: 2012-10-18T03:12:42.903-07:00, From: Open To: ResolvedDate: 2014-02-16T23:53:10.350-08:00, From: Resolved To: Closed",0,3,57,1,-1
FELIX-3704,2012-10-09,"Date: 2012-10-25T16:57:24.925-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:14.360-08:00, From: Resolved To: Closed",0,4,109,1,-1
FELIX-3703,2012-10-07,"Date: 2012-10-11T06:17:56.163-07:00, From: Open To: Resolved",0,6,239,1,-2
FELIX-3702,2012-10-05,"Date: 2012-10-07T13:45:30.547-07:00, From: Open To: Closed",0,3,102,1,-1
FELIX-3701,2012-10-05,"Date: 2014-03-26T07:28:43.422-07:00, From: Open To: ResolvedDate: 2014-07-30T00:16:55.734-07:00, From: Resolved To: Closed",0,9,722,2,-2
FELIX-3700,2012-10-04,"Date: 2012-10-19T13:25:48.676-07:00, From: Open To: Resolved",0,19,1888,2,-3
FELIX-3699,2012-10-03,"Date: 2013-04-10T05:09:58.956-07:00, From: Open To: ResolvedDate: 2013-05-27T21:10:21.535-07:00, From: Resolved To: Closed",0,8,590,2,-2
FELIX-3698,2012-10-02,"Date: 2012-10-17T23:34:36.736-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:15.246-08:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-3697,2012-10-02,"Date: 2012-10-05T11:44:29.388-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:15.396-08:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-3696,2012-10-02,,0,5,604,1,-3
FELIX-3695,2012-10-01,"Date: 2015-03-10T01:36:08.846-07:00, From: Open To: ResolvedDate: 2015-03-16T01:19:37.448-07:00, From: Resolved To: Closed",0,4,123,1,-1
FELIX-3694,2012-09-30,"Date: 2012-09-30T04:37:20.974-07:00, From: Open To: ResolvedDate: 2013-06-06T08:34:59.235-07:00, From: Resolved To: Closed",0,2,25,1,-1
FELIX-3693,2012-09-30,"Date: 2012-10-05T11:36:50.104-07:00, From: Open To: ResolvedDate: 2013-09-28T10:40:04.793-07:00, From: Resolved To: Closed",0,1,38,1,-1
FELIX-3692,2012-09-29,"Date: 2012-12-15T22:00:32.240-08:00, From: Open To: ResolvedDate: 2014-09-04T01:04:11.038-07:00, From: Resolved To: Closed",0,3,148,2,-2
FELIX-3691,2012-09-28,"Date: 2012-09-28T08:49:49.097-07:00, From: Open To: Resolved",0,1,23,1,-1
FELIX-3690,2012-09-28,,0,0,2,1,-1
FELIX-3689,2012-09-28,"Date: 2012-09-28T00:57:10.885-07:00, From: Open To: ResolvedDate: 2012-10-04T01:53:29.143-07:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-3688,2012-09-27,,0,1,124,1,-1
FELIX-3687,2012-09-27,"Date: 2014-03-13T01:25:48.016-07:00, From: Open To: Resolved",0,4,407,2,-3
FELIX-3686,2012-09-27,"Date: 2013-12-05T15:01:51.293-08:00, From: Open To: ResolvedDate: 2015-03-16T23:58:15.719-07:00, From: Resolved To: Closed",0,1,35,1,-1
FELIX-3685,2012-09-27,,0,3,195,1,-1
FELIX-3684,2012-09-26,"Date: 2012-09-27T12:36:09.606-07:00, From: Open To: ResolvedDate: 2013-09-28T10:40:02.393-07:00, From: Resolved To: Closed",0,5,198,1,-1
FELIX-3683,2012-09-26,"Date: 2012-09-26T11:07:39.820-07:00, From: Open To: Resolved",0,2,46,1,-1
FELIX-3682,2012-09-26,"Date: 2012-09-26T06:22:19.280-07:00, From: Open To: Closed",0,2,133,2,-1
FELIX-3681,2012-09-25,"Date: 2012-10-17T23:54:33.210-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:16.148-08:00, From: Resolved To: Closed",0,2,28,1,-1
FELIX-3680,2012-09-24,"Date: 2013-03-30T23:23:06.297-07:00, From: Open To: Closed",0,42,6849,3,-3
FELIX-3679,2012-09-23,"Date: 2012-09-24T01:14:28.740-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:13.555-08:00, From: Resolved To: Closed",0,2,32,1,-1
FELIX-3678,2012-09-22,"Date: 2013-05-28T03:07:19.023-07:00, From: Open To: ResolvedDate: 2014-04-01T05:46:56.937-07:00, From: Resolved To: Closed",0,2,34,1,-1
FELIX-3677,2012-09-21,"Date: 2012-09-26T09:34:12.297-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:17.654-08:00, From: Resolved To: Closed",0,2,24,1,-1
FELIX-3676,2012-09-21,"Date: 2012-09-26T09:33:28.897-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:14.488-08:00, From: Resolved To: Closed",0,2,24,1,-1
FELIX-3675,2012-09-21,"Date: 2012-10-17T23:24:58.108-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:15.464-08:00, From: Resolved To: Closed",0,3,47,1,-1
FELIX-3674,2012-09-21,"Date: 2012-10-11T01:33:07.232-07:00, From: Open To: Resolved",0,21,790,2,-2
FELIX-3673,2012-09-20,,0,0,2,1,-1
FELIX-3672,2012-09-20,"Date: 2012-09-20T06:03:42.769-07:00, From: Open To: ResolvedDate: 2013-02-04T04:33:20.073-08:00, From: Resolved To: Closed",0,1,24,1,-1
FELIX-3671,2012-09-19,,0,1,27,1,-1
FELIX-3670,2012-09-17,"Date: 2012-09-19T08:44:36.952-07:00, From: Open To: Resolved",0,1,26,1,-1
FELIX-3669,2012-09-17,"Date: 2012-09-30T03:34:30.952-07:00, From: Open To: ResolvedDate: 2015-01-05T01:47:47.342-08:00, From: Resolved To: Closed",0,3,33,1,-1
FELIX-3668,2012-09-17,"Date: 2012-10-17T23:52:57.373-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:13.209-08:00, From: Resolved To: Closed",0,2,24,1,-1
FELIX-3667,2012-09-15,"Date: 2012-09-16T04:48:32.638-07:00, From: Open To: Resolved",0,2,92,1,-2
FELIX-3666,2012-09-14,"Date: 2012-09-21T07:31:44.817-07:00, From: Open To: ResolvedDate: 2012-12-07T02:26:02.821-08:00, From: Resolved To: ReopenedDate: 2012-12-07T03:47:24.590-08:00, From: Reopened To: ResolvedDate: 2013-06-06T08:34:56.580-07:00, From: Resolved To: Closed",1,8,240,1,-1
FELIX-3665,2012-09-14,,0,1,97,1,-1
FELIX-3664,2012-09-14,,0,3,179,2,-1
FELIX-3663,2012-09-13,"Date: 2012-09-30T03:45:14.815-07:00, From: Open To: ResolvedDate: 2013-06-06T08:34:56.740-07:00, From: Resolved To: Closed",0,2,25,1,-1
FELIX-3662,2012-09-11,"Date: 2012-10-17T23:55:05.837-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:18.083-08:00, From: Resolved To: Closed",0,2,32,1,-1
FELIX-3661,2012-09-11,"Date: 2012-09-13T01:16:13.604-07:00, From: Open To: ClosedDate: 2012-09-13T08:42:08.340-07:00, From: Closed To: ReopenedDate: 2012-09-17T04:57:14.126-07:00, From: Reopened To: Closed",1,15,1789,2,-3
FELIX-3660,2012-09-07,"Date: 2012-09-27T14:32:03.583-07:00, From: Open To: Resolved",0,4,79,2,-1
FELIX-3659,2012-09-06,"Date: 2012-09-28T18:05:57.187-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:14.423-08:00, From: Resolved To: Closed",0,4,224,1,-1
FELIX-3658,2012-09-06,"Date: 2012-10-17T23:54:06.087-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:15.532-08:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-3657,2012-09-06,"Date: 2012-09-28T18:04:19.827-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:14.205-08:00, From: Resolved To: Closed",0,4,92,2,-1
FELIX-3656,2012-09-06,"Date: 2015-08-07T01:37:47.710-07:00, From: Open To: ResolvedDate: 2015-09-23T05:56:34.532-07:00, From: Resolved To: Closed",0,2,81,1,-1
FELIX-3655,2012-09-04,,0,0,2,1,-1
FELIX-3654,2012-09-03,"Date: 2012-09-03T10:20:09.575-07:00, From: Open To: Closed",0,3,164,1,-1
FELIX-3653,2012-09-03,"Date: 2012-09-04T11:01:52.393-07:00, From: Open To: ResolvedDate: 2012-12-07T02:25:55.698-08:00, From: Resolved To: Closed",0,1,27,1,-1
FELIX-3652,2012-09-03,,0,6,577,1,-4
FELIX-3651,2012-09-02,"Date: 2013-10-15T16:48:10.815-07:00, From: Open To: ResolvedDate: 2013-10-15T16:48:16.680-07:00, From: Resolved To: Closed",0,4,188,2,-1
FELIX-3650,2012-09-02,"Date: 2012-09-02T19:18:27.920-07:00, From: Open To: ResolvedDate: 2012-11-20T02:58:16.217-08:00, From: Resolved To: Closed",0,2,33,1,-1
