ID,history,reopenings,comments,score1,score2
ZOOKEEPER-2951,"Date: 2017-12-12T10:40:38.926-08:00, From: Open To: Resolved",0,12,2,-2
ZOOKEEPER-2950,"Date: 2017-12-12T10:45:42.941-08:00, From: Open To: Resolved",0,3,1,-1
ZOOKEEPER-2949,"Date: 2018-01-30T12:58:04.028-08:00, From: Open To: Resolved",0,13,4,-2
ZOOKEEPER-2948,"Date: 2017-11-22T09:46:01.232-08:00, From: Open To: Resolved",0,7,1,-1
ZOOKEEPER-2947,,0,1,1,-1
ZOOKEEPER-2946,,0,1,1,-1
ZOOKEEPER-2945,"Date: 2017-11-27T11:23:34.690-08:00, From: Open To: Patch Available",0,1,1,-1
ZOOKEEPER-2944,"Date: 2017-11-21T09:50:02.926-08:00, From: Open To: Resolved",0,6,2,-2
ZOOKEEPER-2943,,0,0,1,-1
ZOOKEEPER-2942,"Date: 2018-01-05T15:08:53.504-08:00, From: Open To: Resolved",0,1,1,-1
ZOOKEEPER-2941,,0,0,1,-1
ZOOKEEPER-2940,"Date: 2018-01-04T05:45:59.980-08:00, From: Open To: In Progress",0,1,1,-2
ZOOKEEPER-2939,"Date: 2017-11-09T04:12:30.680-08:00, From: Open To: In ProgressDate: 2018-02-06T16:14:18.962-08:00, From: In Progress To: Resolved",0,114,3,-3
ZOOKEEPER-2938,,0,4,1,-2
ZOOKEEPER-2937,"Date: 2017-11-08T08:39:31.520-08:00, From: Open To: Patch Available",0,2,2,-2
ZOOKEEPER-2936,"Date: 2018-03-02T14:13:48.482-08:00, From: Open To: Resolved",0,10,4,-2
ZOOKEEPER-2935,"Date: 2017-11-27T15:11:47.540-08:00, From: Open To: Resolved",0,36,3,-2
ZOOKEEPER-2934,"Date: 2017-11-07T04:06:20.848-08:00, From: Open To: In ProgressDate: 2017-11-15T14:19:08.159-08:00, From: In Progress To: Resolved",0,10,3,-2
ZOOKEEPER-2933,"Date: 2017-11-06T10:10:44.910-08:00, From: Open To: In Progress",0,21,3,-2
ZOOKEEPER-2932,,0,23,2,-2
ZOOKEEPER-2931,"Date: 2017-11-15T15:36:04.030-08:00, From: Open To: Resolved",0,5,1,-1
ZOOKEEPER-2930,,0,14,3,-2
ZOOKEEPER-2929,,0,0,1,-1
ZOOKEEPER-2928,,0,4,2,-1
ZOOKEEPER-2927,,0,0,1,-1
ZOOKEEPER-2926,,0,16,1,-2
ZOOKEEPER-2925,"Date: 2017-10-27T15:39:27.956-07:00, From: Open To: Patch Available",0,3,2,-2
ZOOKEEPER-2924,"Date: 2017-12-12T10:01:24.691-08:00, From: Open To: Resolved",0,65,4,-3
ZOOKEEPER-2923,"Date: 2017-11-15T13:48:13.738-08:00, From: Open To: Resolved",0,4,2,-2
ZOOKEEPER-2922,"Date: 2017-12-14T08:38:39.207-08:00, From: Open To: In ProgressDate: 2018-01-17T21:36:10.702-08:00, From: In Progress To: ResolvedDate: 2018-03-26T12:21:27.803-07:00, From: Resolved To: ReopenedDate: 2018-03-26T12:21:46.196-07:00, From: Reopened To: Resolved",1,12,4,-2
ZOOKEEPER-2921,,0,4,2,-1
ZOOKEEPER-2920,,0,0,1,-1
ZOOKEEPER-2919,,0,3,2,-1
ZOOKEEPER-2918,,0,0,1,-1
ZOOKEEPER-2917,,0,0,1,-1
ZOOKEEPER-2916,,0,6,1,-1
ZOOKEEPER-2915,"Date: 2017-12-01T15:31:37.006-08:00, From: Open To: Resolved",0,18,3,-2
ZOOKEEPER-2914,"Date: 2017-10-05T12:02:30.246-07:00, From: Open To: In ProgressDate: 2017-10-07T12:25:12.841-07:00, From: In Progress To: Resolved",0,16,2,-2
ZOOKEEPER-2913,,0,5,2,-1
ZOOKEEPER-2912,,0,0,1,-1
ZOOKEEPER-2911,,0,0,1,-1
ZOOKEEPER-2910,,0,5,3,-1
ZOOKEEPER-2909,"Date: 2017-10-09T10:58:48.941-07:00, From: Open To: Resolved",0,13,3,-2
ZOOKEEPER-2908,"Date: 2017-10-04T11:06:45.232-07:00, From: Open To: In ProgressDate: 2017-10-04T11:07:05.203-07:00, From: In Progress To: Patch AvailableDate: 2017-10-05T08:20:32.244-07:00, From: Patch Available To: Resolved",0,6,2,-2
ZOOKEEPER-2907,,0,0,1,-1
ZOOKEEPER-2906,"Date: 2017-09-29T15:56:48.704-07:00, From: Open To: Resolved",0,19,3,-3
ZOOKEEPER-2905,"Date: 2017-09-25T16:06:31.792-07:00, From: Open To: In ProgressDate: 2017-09-27T15:19:17.978-07:00, From: In Progress To: Resolved",0,24,2,-3
ZOOKEEPER-2904,"Date: 2017-10-04T10:27:33.168-07:00, From: Open To: Resolved",0,4,1,-2
ZOOKEEPER-2903,,0,2,1,-2
ZOOKEEPER-2902,"Date: 2017-09-21T07:06:05.872-07:00, From: Open To: Resolved",0,1,1,-1
ZOOKEEPER-2901,,0,84,3,-4
ZOOKEEPER-2900,"Date: 2017-09-18T06:54:44.510-07:00, From: Open To: Resolved",0,3,1,-3
ZOOKEEPER-2899,,0,5,3,-2
ZOOKEEPER-2898,,0,1,1,-1
ZOOKEEPER-2897,,0,0,1,-1
ZOOKEEPER-2896,"Date: 2017-09-27T14:30:47.069-07:00, From: Open To: Resolved",0,20,3,-2
ZOOKEEPER-2895,,0,2,3,-1
ZOOKEEPER-2894,,0,3,2,-2
