ID,history,reopenings,comments,score1,score2
CLOUDSTACK-10302,"Date: 2018-02-20T08:05:42.839-08:00, From: Open To: In ProgressDate: 2018-02-20T08:05:45.005-08:00, From: In Progress To: ReviewableDate: 2018-02-27T11:28:14.546-08:00, From: Reviewable To: Resolved",0,7,1,-2
CLOUDSTACK-10301,"Date: 2018-04-10T04:48:12.966-07:00, From: Open To: Resolved",0,35,2,-3
CLOUDSTACK-10300,,0,0,1,-1
CLOUDSTACK-10299,"Date: 2018-02-27T07:11:39.878-08:00, From: Open To: Resolved",0,32,3,-2
CLOUDSTACK-10298,"Date: 2018-02-19T07:00:00.518-08:00, From: Open To: ResolvedDate: 2018-03-13T08:56:31.623-07:00, From: Resolved To: Closed",0,20,2,-2
CLOUDSTACK-10297,,0,4,1,-2
CLOUDSTACK-10296,"Date: 2018-02-16T02:24:28.479-08:00, From: Open To: In ProgressDate: 2018-02-16T02:24:30.492-08:00, From: In Progress To: ReviewableDate: 2018-03-20T23:13:33.014-07:00, From: Reviewable To: Resolved",0,59,4,-3
CLOUDSTACK-10295,"Date: 2018-03-02T16:06:55.505-08:00, From: Open To: Closed",0,14,2,-3
CLOUDSTACK-10294,"Date: 2018-02-15T07:48:14.568-08:00, From: Open To: Closed",0,3,3,-3
CLOUDSTACK-10293,"Date: 2018-02-22T15:45:39.055-08:00, From: Open To: Resolved",0,21,2,-3
CLOUDSTACK-10292,,0,7,1,-2
CLOUDSTACK-10291,"Date: 2018-02-16T07:13:45.797-08:00, From: Open To: Resolved",0,6,3,-3
CLOUDSTACK-10290,,0,0,1,-1
CLOUDSTACK-10289,"Date: 2018-03-28T09:17:44.001-07:00, From: Open To: In Progress",0,0,1,-1
CLOUDSTACK-10288,"Date: 2018-04-03T06:43:10.558-07:00, From: Open To: In Progress",0,1,1,-1
CLOUDSTACK-10287,,0,14,2,-3
CLOUDSTACK-10286,,0,0,1,-1
CLOUDSTACK-10285,"Date: 2018-02-12T03:51:29.612-08:00, From: Open To: In ProgressDate: 2018-02-12T03:51:31.369-08:00, From: In Progress To: OpenDate: 2018-02-12T03:51:33.009-08:00, From: Open To: In ProgressDate: 2018-02-12T03:51:34.765-08:00, From: In Progress To: Reviewable",1,20,2,-2
CLOUDSTACK-10284,"Date: 2018-02-23T02:57:09.323-08:00, From: Open To: Resolved",0,15,3,-2
CLOUDSTACK-10283,"Date: 2018-02-14T05:46:14.811-08:00, From: Open To: In ProgressDate: 2018-02-14T05:46:18.088-08:00, From: In Progress To: ReviewableDate: 2018-02-26T02:19:52.192-08:00, From: Reviewable To: ResolvedDate: 2018-02-26T02:19:57.776-08:00, From: Resolved To: Closed",0,18,2,-3
CLOUDSTACK-10282,,0,20,1,-2
CLOUDSTACK-10281,,0,1,1,-1
CLOUDSTACK-10280,,0,0,1,-1
CLOUDSTACK-10279,,0,0,1,-1
CLOUDSTACK-10278,,0,116,3,-3
CLOUDSTACK-10277,,0,0,1,-1
CLOUDSTACK-10276,,0,0,1,-1
CLOUDSTACK-10275,,0,0,1,-1
CLOUDSTACK-10274,"Date: 2018-03-08T07:53:26.136-08:00, From: Open To: Resolved",0,39,2,-4
CLOUDSTACK-10271,,0,28,2,-3
CLOUDSTACK-10270,,0,0,1,-1
CLOUDSTACK-10269,,0,62,1,-2
CLOUDSTACK-10268,"Date: 2018-03-15T07:30:31.196-07:00, From: Open To: Resolved",0,89,3,-4
CLOUDSTACK-10267,,0,0,1,-1
CLOUDSTACK-10266,,0,0,1,-1
CLOUDSTACK-10265,,0,0,1,-1
CLOUDSTACK-10264,,0,0,1,-1
CLOUDSTACK-10263,,0,1,1,-1
CLOUDSTACK-10262,,0,3,2,-1
CLOUDSTACK-10261,,0,16,1,-3
CLOUDSTACK-10260,,0,1,1,-2
CLOUDSTACK-10259,"Date: 2018-03-01T08:35:51.099-08:00, From: Open To: Resolved",0,23,2,-2
CLOUDSTACK-10258,"Date: 2018-02-09T11:06:38.347-08:00, From: Open To: Resolved",0,1,1,-1
CLOUDSTACK-10257,"Date: 2018-01-30T05:07:13.473-08:00, From: Open To: In ProgressDate: 2018-01-30T06:19:14.324-08:00, From: In Progress To: ReviewableDate: 2018-03-02T03:09:28.719-08:00, From: Reviewable To: Resolved",0,9,2,-2
CLOUDSTACK-10256,,0,0,1,-1
CLOUDSTACK-10255,"Date: 2018-01-24T04:23:47.971-08:00, From: Open To: In Progress",0,14,1,-2
CLOUDSTACK-10254,,0,11,2,-2
CLOUDSTACK-10253,,0,17,1,-2
CLOUDSTACK-10252,,0,15,2,-2
CLOUDSTACK-10251,"Date: 2018-03-19T17:45:05.622-07:00, From: Open To: Resolved",0,10,1,-2
CLOUDSTACK-10250,"Date: 2018-03-15T07:39:05.241-07:00, From: Open To: Closed",0,27,2,-2
CLOUDSTACK-10249,"Date: 2018-01-23T12:18:25.935-08:00, From: Open To: Closed",0,1,1,-1
CLOUDSTACK-10248,"Date: 2018-01-23T02:41:43.813-08:00, From: Open To: In ProgressDate: 2018-01-23T02:41:46.674-08:00, From: In Progress To: ReviewableDate: 2018-01-23T06:44:33.906-08:00, From: Reviewable To: Resolved",0,1,1,-1
CLOUDSTACK-10247,"Date: 2018-03-19T17:45:42.121-07:00, From: Open To: Resolved",0,7,2,-2
CLOUDSTACK-10246,,0,27,3,-3
CLOUDSTACK-10245,"Date: 2018-01-24T00:08:04.004-08:00, From: Open To: ResolvedDate: 2018-02-19T06:57:17.833-08:00, From: Resolved To: Closed",0,3,1,-1
CLOUDSTACK-10244,"Date: 2018-03-21T13:01:02.712-07:00, From: Open To: ResolvedDate: 2018-03-21T13:01:13.201-07:00, From: Resolved To: Closed",0,4,1,-1
CLOUDSTACK-10243,"Date: 2018-03-08T06:09:08.010-08:00, From: Open To: Closed",0,6,1,-2
CLOUDSTACK-10242,,0,3,1,-1
CLOUDSTACK-10241,"Date: 2018-03-29T11:56:13.471-07:00, From: Open To: Resolved",0,33,2,-3
CLOUDSTACK-10240,"Date: 2018-03-07T13:23:53.236-08:00, From: Open To: Resolved",0,39,2,-2
CLOUDSTACK-10239,,0,25,2,-2
CLOUDSTACK-10238,"Date: 2018-03-15T07:38:42.989-07:00, From: Open To: Closed",0,21,2,-2
CLOUDSTACK-10237,"Date: 2018-03-19T17:55:23.283-07:00, From: Open To: Resolved",0,0,1,-1
CLOUDSTACK-10236,"Date: 2018-01-19T01:03:05.867-08:00, From: Open To: ClosedDate: 2018-01-22T01:16:51.560-08:00, From: Closed To: ReopenedDate: 2018-01-23T12:18:42.549-08:00, From: Reopened To: In ProgressDate: 2018-01-23T12:18:44.671-08:00, From: In Progress To: Reviewable",1,12,2,-3
CLOUDSTACK-10235,"Date: 2018-01-18T22:16:24.993-08:00, From: Open To: Closed",0,4,1,-2
CLOUDSTACK-10234,"Date: 2018-01-17T08:24:45.083-08:00, From: Open To: Closed",0,1,1,-1
CLOUDSTACK-10233,"Date: 2018-01-17T08:05:42.489-08:00, From: Open To: In ProgressDate: 2018-01-19T00:50:18.751-08:00, From: In Progress To: ResolvedDate: 2018-01-19T00:51:47.179-08:00, From: Resolved To: Closed",0,17,1,-2
CLOUDSTACK-10232,,0,49,3,-2
CLOUDSTACK-10231,"Date: 2018-03-15T07:39:12.127-07:00, From: Open To: In ProgressDate: 2018-03-19T17:51:25.261-07:00, From: In Progress To: ReviewableDate: 2018-03-19T17:54:47.691-07:00, From: Reviewable To: ResolvedDate: 2018-03-20T04:37:31.495-07:00, From: Resolved To: ReopenedDate: 2018-03-20T04:37:37.521-07:00, From: Reopened To: In ProgressDate: 2018-03-20T08:33:40.966-07:00, From: In Progress To: OpenDate: 2018-03-20T08:33:48.117-07:00, From: Open To: Resolved",2,29,2,-2
CLOUDSTACK-10230,"Date: 2018-01-12T06:39:43.275-08:00, From: Open To: In ProgressDate: 2018-01-12T08:28:20.520-08:00, From: In Progress To: Reviewable",0,38,3,-3
CLOUDSTACK-10229,,0,1,2,-1
CLOUDSTACK-10228,"Date: 2018-01-12T05:17:17.453-08:00, From: Open To: In Progress",0,0,1,-1
CLOUDSTACK-10227,"Date: 2018-03-20T23:14:35.168-07:00, From: Open To: Closed",0,31,2,-2
CLOUDSTACK-10226,"Date: 2018-04-10T04:49:34.824-07:00, From: Open To: Resolved",0,33,2,-3
CLOUDSTACK-10225,,0,40,3,-4
CLOUDSTACK-10224,,0,0,1,-1
CLOUDSTACK-10223,,0,4,1,-2
CLOUDSTACK-10222,"Date: 2018-02-06T11:38:37.151-08:00, From: Open To: Resolved",0,25,3,-3
CLOUDSTACK-10221,,0,4,1,-2
CLOUDSTACK-10220,,0,8,1,-2
CLOUDSTACK-10219,"Date: 2018-03-14T05:22:45.056-07:00, From: Open To: ResolvedDate: 2018-03-14T05:22:53.704-07:00, From: Resolved To: Closed",0,1,1,-1
CLOUDSTACK-10218,"Date: 2018-02-05T05:25:14.123-08:00, From: Open To: ResolvedDate: 2018-02-19T06:56:55.652-08:00, From: Resolved To: Closed",0,26,2,-4
CLOUDSTACK-10217,,0,18,2,-2
CLOUDSTACK-10216,,0,0,1,-1
CLOUDSTACK-10215,,0,12,1,-2
CLOUDSTACK-10214,"Date: 2018-01-05T10:57:10.969-08:00, From: Open To: In ProgressDate: 2018-01-05T10:57:18.709-08:00, From: In Progress To: Reviewable",0,15,1,-2
CLOUDSTACK-10213,"Date: 2018-01-11T04:08:20.619-08:00, From: Open To: Resolved",0,17,2,-2
CLOUDSTACK-10212,"Date: 2018-01-05T05:15:11.068-08:00, From: Open To: In ProgressDate: 2018-01-09T04:42:03.246-08:00, From: In Progress To: ResolvedDate: 2018-01-09T04:42:12.759-08:00, From: Resolved To: Closed",0,17,2,-2
CLOUDSTACK-10211,"Date: 2018-01-04T06:14:10.937-08:00, From: Open To: ResolvedDate: 2018-01-04T23:36:45.219-08:00, From: Resolved To: Closed",0,6,3,-2
CLOUDSTACK-10210,"Date: 2018-01-03T06:51:50.506-08:00, From: Open To: In ProgressDate: 2018-01-10T00:30:36.152-08:00, From: In Progress To: Closed",0,22,2,-2
CLOUDSTACK-10209,,0,0,1,-1
CLOUDSTACK-10208,"Date: 2017-12-27T00:03:34.711-08:00, From: Open To: Closed",0,1,1,-1
CLOUDSTACK-10207,"Date: 2018-01-10T00:31:00.090-08:00, From: Open To: ClosedDate: 2018-02-20T07:56:28.231-08:00, From: Closed To: Reopened",1,32,3,-2
CLOUDSTACK-10206,,0,0,1,-1
CLOUDSTACK-10205,,0,15,1,-2
CLOUDSTACK-10204,,0,0,1,-1
CLOUDSTACK-10203,,0,0,1,-1
CLOUDSTACK-10202,,0,39,2,-3
CLOUDSTACK-10201,"Date: 2017-12-20T07:47:03.176-08:00, From: Open To: Resolved",0,1,1,-1
CLOUDSTACK-10200,"Date: 2017-12-21T03:49:16.149-08:00, From: Open To: Resolved",0,1,1,-1
CLOUDSTACK-10199,,0,0,1,-1
CLOUDSTACK-10198,,0,1,1,-2
CLOUDSTACK-10197,"Date: 2018-01-08T08:55:18.861-08:00, From: Open To: Resolved",0,90,3,-4
